Coal,Total Moisture  (TM),Gross Calorific Value (GCV),Volatile Matter(VM),Ash content (A),Fixed Carbon(FC),Sulphur (S),SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,TiO2,SO3,P2O5,Mn3O4,Initial Deformation Temp.,Softening/ Spherical Temp.,Hemispherical Temp.,Fluid Temp.
Imported 1,36,4100,31.6,4,28.4,0.28,46.75,10.98,22,7.6,5.6,0.27,0.66,0.68,5.15,0.12,0.19,1140,1160,1170,1182
Imported 2,36,4180,32.2,2.6,29.2,0.08,25.5,11.7,21.5,22.9,9.2,0.22,0.86,0.87,5.64,0.75,0.86,1200,1220,1230,1242
Imported 3,8.5,5760,22.9,16.9,51.7,0.63,47.62,30.75,4.57,8,1.83,0.29,0.51,1.7,2.97,1.43,0.33,1350,1370,1380,1392
Imported 4,15.17,6085,34.76,5.52,44.55,0.42,59,19.5,7,2.9,1.5,2.6,1.8,0.83,3.75,0.13,0.99,1182,1202,1212,1224
Imported 5,7.24,7169,37.04,7.5,48.22,2.69,43.01,21.1,24.58,3.24,0.82,0.73,1.46,0.99,3.38,0.38,0.31,1118,1138,1148,1160
Imported 6,26.8,5006,36.6,2.3,34.3,0.1,34.17,17.65,16.66,16.03,7.38,0.32,0.93,0.67,5.27,0.29,0.63,1150,1170,1180,1192
Imported 7,39,4006,30.5,2.6,27.9,0.1,31.5,13.3,16,18.1,10.6,0.43,0.77,0.58,8.3,0.175,0.245,1230,1250,1260,1272
Imported 8,37.44,4006,31.8,3.34,27.42,0.08,46.5,20.6,17,7,2.26,0.32,0.89,0.92,4.2,0.148,0.162,1150,1170,1180,1192
Imported 9,36.8,4100,31.4,2.8,29,0.11,38.97,14.49,22.5,12.84,5.2,0.29,0.48,0.43,3.51,0.27,1.02,1224,1224,1254,1266
Washed 1,5.2,3804,26,39.57,29.23,0.02,60.57,27.3,6.09,1.09,0.04,0.13,0.97,2.31,0.06,0.37,1.07,1350,1370,1380,1392
Washed 2,4.41,3787,25.01,41.75,28.83,0.01,60.37,27.44,5.63,1.14,0.06,0.15,1.08,2.69,0.03,0.44,0.97,1326,1346,1356,1368
Raw 1,40.09,3808,30.73,1.57,27.61,0.1,38,6.8,18,16,14.5,2.94,0.45,0.57,3.75,0.032,0,1289,1309,1319,1331
Raw 2,40.3,3674,31.07,3.38,25.25,0.07,29,3.7,40.4,11.1,9.5,2.18,0.32,0.4,3.15,0.097,0.153,1128,1148,1158,1170
Raw 3,39.89,3806,28.73,4.68,26.7,0.49,40.22,16.46,15.03,9.04,4.28,0.99,0.49,1.05,10.84,0.35,1.25,1115,1135,1145,1157
